"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000119915",258.36555253027,-9.04522309014862,1.9446301106086,-4.65138487818527,3.29713317335627e-06,8.75352674800228e-05,"ELOVL3"
"ENSG00000120329",298.125800183893,-8.78949620089905,1.96192297017688,-4.48004143613579,7.46285499232876e-06,0.000131527967868562,"SLC25A2"
"ENSG00000120498",446.735890115402,-9.13192608257999,1.89519350421086,-4.81846632667858,1.44665934767451e-06,5.41603526114206e-05,"TEX11"
"ENSG00000120903",426.384149103423,-9.39413054977401,1.02846722246279,-9.13410786906615,6.59482623513472e-20,5.91971894638724e-18,"CHRNA2"
"ENSG00000122136",476.637299999882,-9.94584112700613,1.09946352955615,-9.04608553138753,1.48185392767427e-19,1.23514641805833e-17,"OBP2A"
"ENSG00000124214",709.191059029618,-3.87723838937495,1.13862101557665,-3.40520536362254,0.000661143143231454,0.00795034168074659,"STAU1"
"ENSG00000124731",1064.56206568624,-1.00520346243733,0.282434521310604,-3.55906727609925,0.000372174195651858,0.00456578545405872,"TREM1"
"ENSG00000124882",330.734498056437,-8.67235840880687,1.85221217314071,-4.6821625160262,2.83864285900456e-06,8.22883353338774e-05,"EREG"
"ENSG00000125245",820.690411630393,-1.935811178118,0.461655814621714,-4.19319137072762,2.75057211554328e-05,0.000364572650280528,"GPR18"
"ENSG00000125354",1088.54378842567,-1.79815871706279,0.228646508936322,-7.86436112857324,3.70985884170218e-15,2.24538821553895e-13,"SEPTIN6"
"ENSG00000125505",354.109763666081,-8.49403480040135,1.87781004416819,-4.5233727590183,6.08619138854694e-06,0.000118210693327616,"MBOAT7"
"ENSG00000128218",1142.73193512116,-1.2169458632139,0.250823615971341,-4.85179937503552,1.22346353685452e-06,4.79732550546464e-05,"VPREB3"
"ENSG00000128340",918.553786621054,-3.34343737500749,0.36798058873853,-9.08590691283225,1.02837714616615e-19,8.9961008756241e-18,"RAC2"
"ENSG00000128573",1083.90344430992,-1.07478935702681,0.250754755281214,-4.28621724769077,1.81741264255748e-05,0.000252233011519169,"FOXP2"
"ENSG00000128645",354.602140403129,-9.502253271621,1.99855720352463,-4.75455656453713,1.98882454703613e-06,6.69976657167264e-05,"HOXD1"
"ENSG00000128886",758.619330911303,-5.28426393545803,1.3476989162411,-3.92095287142954,8.81995129553764e-05,0.00113300061270242,"ELL3"
"ENSG00000129128",715.969131996659,-3.705419507742,0.962253771355063,-3.85077161352557,0.0001177462639868,0.0014993503968952,"SPCS3"
"ENSG00000130023",235.770318668942,-8.5550407652433,2.06820814911957,-4.13645056416838,3.52719300238514e-05,0.000463508114678296,"ERMARD"
"ENSG00000130045",702.481553251768,-2.29692368769041,0.69007279817714,-3.32852373511584,0.000873075652398941,0.0103451809274302,"NXNL2"
"ENSG00000130540",233.503957175245,-8.89913061653667,1.93396200896945,-4.60150229180497,4.19454541519532e-06,9.80077873983437e-05,"SULT4A1"
"ENSG00000130701",778.772025304514,-3.3562015383757,0.788309184138755,-4.25746852365094,2.06754759298238e-05,0.00028264557605471,"RBBP8NL"
"ENSG00000130829",249.650111150419,-8.56241710555476,1.9593381753553,-4.37005577355327,1.24214806082644e-05,0.000184789318605251,"DUSP9"
"ENSG00000131143",935.433533703667,-5.38181666982143,0.804941216418768,-6.68597477684826,2.29392537267201e-11,1.23927194253631e-09,"COX4I1"
"ENSG00000131849",1014.81529885385,-2.22937903199072,0.648368484918781,-3.43844447077034,0.00058506651801541,0.00707634557631159,"ZNF132"
"ENSG00000131931",831.025579834545,-1.88148917190536,0.657970585049015,-2.85953386771112,0.0042426411300116,0.0453870809262297,"THAP1"
"ENSG00000132182",1001.26219873582,-2.42765880720937,0.725016908674708,-3.34841681368094,0.000812746757311261,0.00966582191236911,"NUP210"
"ENSG00000132746",376.05042406376,-8.79760655866998,1.86362911277389,-4.72068530072237,2.35051364362946e-06,7.46966607032705e-05,"ALDH3B2"
"ENSG00000132763",894.26027261836,-4.23100166472689,0.679699686962537,-6.22481037711599,4.8213877848121e-10,2.45470062559028e-08,"MMACHC"
"ENSG00000134258",116.86731263073,-7.46546479324519,1.75386225379936,-4.25658558821987,2.07572595415963e-05,0.000282968005891116,"VTCN1"
"ENSG00000134398",304.557132535596,-8.85054879951675,1.89789900135618,-4.6633402479228,3.11117720213826e-06,8.56248797339429e-05,"ERN2"
"ENSG00000134443",568.492478300544,-9.77690750685449,0.980340253892034,-9.97297363648931,2.00145046600791e-23,4.2932584150624e-21,"GRP"
"ENSG00000134489",429.869219824906,-9.35720663969513,1.03967220261182,-9.00015083233771,2.25407787122944e-19,1.78690798199392e-17,"HRH4"
"ENSG00000134757",220.808896931347,-7.75726416144114,1.94411985773006,-3.99011621150686,6.60409297291498e-05,0.000854752459178565,"DSG3"
"ENSG00000135046",669.031361686693,-1.61095359628268,0.554802646341187,-2.90365160820085,0.00368838343413277,0.0399114280133366,"ANXA1"
"ENSG00000136275",249.478334504367,-8.99413217082113,2.00231083582954,-4.49187609130375,7.0598496187688e-06,0.000127749910171714,"PKD1L1-AS1"
"ENSG00000136436",990.735527597301,-3.43004608919097,0.246087586612581,-13.938314144187,3.70590687842432e-44,3.60374737880909e-40,"CALCOCO2"
"ENSG00000136490",1041.55509590775,-2.15070258335986,0.385172716245699,-5.58373553641828,2.3540659149345e-08,1.15809721646516e-06,"LIMD2"
"ENSG00000136514",650.566503418789,-3.35133132751751,1.16850602398682,-2.8680479678514,0.00413012910602196,0.0443351889420046,"RTP4"
"ENSG00000136694",308.585353314314,-9.30130496771782,2.00995692118789,-4.62761408947051,3.69902465704505e-06,9.33491750172795e-05,"IL36A"
"ENSG00000136695",651.398883474509,-9.6370560065927,0.889459250142856,-10.8347358297133,2.35644557243571e-27,1.32201128239744e-24,"IL36RN"
"ENSG00000137077",906.191342738527,-2.48726345336293,0.262129845067625,-9.48866945204679,2.34001919364749e-21,3.04756160429814e-19,"CCL21"
"ENSG00000137975",169.6780134571,-7.97574767114946,1.86939062285602,-4.26649603011503,1.9856702653877e-05,0.000272730502128792,"CLCA2"
"ENSG00000138347",303.569918600545,-8.84582274970312,1.89972620782462,-4.656367171895,3.21837753183885e-06,8.73392816151951e-05,"MYPN"
"ENSG00000139211",719.506221801089,-1.66315417354001,0.404472394689052,-4.11191022027251,3.92398899446021e-05,0.000514492273866911,"AMIGO2"
"ENSG00000139880",1001.50526895486,-1.08897406055514,0.287799278541761,-3.78379704797324,0.000154453785817796,0.00195313406747402,"CDH24"
"ENSG00000140798",381.523336325252,-8.89975627728917,0.967377993163559,-9.19987465105012,3.58367562682796e-20,3.50827412957893e-18,"ABCC12"
"ENSG00000141384",969.12986151129,-2.42196971163147,0.375537946730352,-6.44933416907271,1.12342609066359e-10,5.8420159256558e-09,"TAF4B"
"ENSG00000141404",1167.55301600449,-1.59459442197673,0.377523629460286,-4.22382679530917,2.40188668819886e-05,0.000322013972218866,"GNAL"
"ENSG00000141642",949.10065361867,-2.70960002270118,0.524124630095785,-5.16976281424896,2.34391290062106e-07,1.08883711862768e-05,"ELAC1"
"ENSG00000141655",917.928571084573,-2.54540684601425,0.468585198076241,-5.4321110791897,5.5691236287074e-08,2.6943290815967e-06,"TNFRSF11A"
"ENSG00000141738",1043.40397801283,-2.32054099506463,0.730177305191463,-3.17805138363777,0.00148268471720656,0.0170695979696396,"GRB7"
"ENSG00000142661",735.365081459279,-3.7183033151653,1.19586841194756,-3.10929135514982,0.00187536686392053,0.0212374019404773,"MYOM3"
"ENSG00000143119",938.164857813465,-3.01387949267955,0.361817081328503,-8.32984302900604,8.09496141986161e-17,5.08953253236256e-15,"CD53"
"ENSG00000143171",1146.5822519434,-1.27907674080905,0.287417475898573,-4.4502399751796,8.57743899143959e-06,0.000146013078545866,"RXRG"
"ENSG00000143614",1135.35169514743,-1.27039185048134,0.329566596847504,-3.8547348627967,0.000115855117141695,0.00147591324557845,"GATAD2B"
"ENSG00000144218",1096.42904290057,-1.30339554997866,0.287173733986729,-4.53870043016849,5.66019799629602e-06,0.000112867365786701,"AFF3"
"ENSG00000144278",371.931793430919,-9.57174854276951,1.94079361160792,-4.93187347975627,8.14446653974817e-07,3.44845460615491e-05,"GALNT13"
"ENSG00000144285",352.729119444306,-9.13604952678482,1.89455467102855,-4.8222675579084,1.41935382751247e-06,5.34971695219914e-05,"SCN1A"
"ENSG00000144674",724.682761181193,-2.79488720409827,0.878933886571477,-3.17986056380246,0.00147345933683522,0.0169700865509253,"GOLGA4"
"ENSG00000145012",966.652546035901,-2.82232069581957,0.609829970630957,-4.62804524497127,3.69133382338682e-06,9.33491750172795e-05,"LPP"
"ENSG00000145331",856.829880234492,-2.81033300396782,0.581783131985192,-4.83055085213325,1.36155833571709e-06,5.18170231130879e-05,"TRMT10A"
"ENSG00000145975",250.148187080073,-7.99146595147529,1.80776028086491,-4.42064472599865,9.84068512385092e-06,0.000154921680145687,"FAM217A"
"ENSG00000146049",308.947368708037,-8.51215984471736,1.93136802096191,-4.40732152149745,1.04656775998863e-05,0.000163620156817514,"KAAG1"
"ENSG00000146374",915.788028913461,-1.65166900824343,0.564728400696092,-2.92471390885878,0.00344773030945638,0.0375246340551009,"RSPO3"
"ENSG00000146733",1025.92496259296,-2.54347232179268,0.305195232155314,-8.33391892733863,7.82094899719143e-17,4.92787354416988e-15,"PSPH"
"ENSG00000147223",523.165436674356,-10.0804422241348,1.09687914318376,-9.19011204358918,3.9243238911581e-20,3.74131702211619e-18,"RIPPLY1"
"ENSG00000147813",315.180408021085,-8.88658677662022,1.40040341146111,-6.3457334535828,2.21368224183477e-10,1.13897269913661e-08,"NAPRT"
"ENSG00000149599",880.517133796499,-1.65747143669461,0.578503205994881,-2.86510328640993,0.00416873246384254,0.0446783365788679,"DUSP15"
"ENSG00000149968",270.217321187113,-8.75149473051588,1.97323862313955,-4.43509194878401,9.2032999093772e-06,0.000152463298271585,"MMP3"
"ENSG00000150394",344.54338467067,-9.02265760043093,1.25475631136485,-7.19076486701757,6.44293570042159e-13,3.6849588229061e-11,"CDH8"
"ENSG00000150455",1040.09558710973,-2.49911360444131,0.688988725329268,-3.62721988410911,0.000286489310318755,0.0035444243638376,"TIRAP"
"ENSG00000151640",800.5322269752,-2.38671132512646,0.655936467130646,-3.63863185647686,0.000274090284093549,0.00339967510963483,"DPYSL4"
"ENSG00000152147",1001.04975886347,-2.9113996083218,0.749731439404185,-3.88325666406026,0.000103066672567244,0.00131702323206492,"GEMIN6"
"ENSG00000152495",1203.79667396469,-1.33343599279764,0.174406179680678,-7.64557766954727,2.0800934669404e-14,1.23841972879699e-12,"CAMK4"
"ENSG00000152592",596.131355659096,-9.83143340866436,1.01766672310136,-9.66075944657294,4.42570748310587e-22,7.1332135030192e-20,"DMP1"
"ENSG00000153294",456.832321265567,-9.88280847125821,1.15639189449377,-8.54624502153275,1.27157912747368e-17,8.24350619684217e-16,"ADGRF4"
"ENSG00000153363",1031.85139310522,-2.12608067942344,0.262823851152214,-8.0893749562787,5.99716867985809e-16,3.69104223412447e-14,"LINC00467"
"ENSG00000153446",947.699148558211,-2.35176076517287,0.308353433512351,-7.62683501975232,2.40587162641492e-14,1.42946014169862e-12,"C16orf89"
"ENSG00000153767",1057.17356805305,-2.50683597288765,0.312834487743314,-8.01329799336111,1.11672619342858e-15,6.85857962966149e-14,"GTF2E1"
"ENSG00000153790",931.325743197062,-2.57211070549908,0.571155232531893,-4.50334787986986,6.6891253011868e-06,0.000124373392231691,"SPMIP4"
"ENSG00000154478",306.274719005094,-8.93250072940117,1.96081401588239,-4.55550636472856,5.22595331180659e-06,0.000109353623701136,"GPR26"
"ENSG00000154655",1188.31003325745,-1.24526486128533,0.164605969167632,-7.5651257823899,3.87489473252679e-14,2.29760780552854e-12,"L3MBTL4"
"ENSG00000155858",954.858418715786,-3.15220166765672,0.649477549398789,-4.85344207905979,1.21336791894254e-06,4.76414297433523e-05,"LSM11"
"ENSG00000156011",1168.4265821116,-1.04462476139484,0.228834570570456,-4.56497791741307,4.99546921663765e-06,0.000106550195263435,"PSD3"
"ENSG00000156076",528.294682667891,-9.71923665591942,1.84557473978387,-5.26623844941528,1.39247396914762e-07,6.58389677503135e-06,"WIF1"
"ENSG00000156427",963.009847013096,-1.36136482719377,0.381142345806311,-3.57180156488197,0.00035453400219047,0.00435854211795304,"FGF18"
"ENSG00000156510",999.897884749585,-1.01092040716337,0.262167061204274,-3.85601609340117,0.000115249903730969,0.00146884466646727,"HKDC1"
"ENSG00000157131",321.228236133538,-9.00139296287509,1.95386172750491,-4.60697542521083,4.08568265912561e-06,9.69094087378897e-05,"C8A"
"ENSG00000158825",1246.82510184133,-1.20804946863006,0.303777915161015,-3.97675212166013,6.98629224098403e-05,0.000903418012172992,"CDA"
"ENSG00000158985",951.933713771739,-3.33769166606003,0.765409646220018,-4.36066057247025,1.29670383552041e-05,0.000191732088158322,"CDC42SE2"
"ENSG00000160075",668.828623565058,-3.42831759859273,1.0877150613234,-3.15185265010634,0.00162238121749071,0.0185898378860395,"SSU72"
"ENSG00000160185",1079.21113015994,-1.53269972079757,0.247435041415845,-6.19435190758484,5.8525337431863e-10,2.9693211633039e-08,"UBASH3A"
"ENSG00000161270",883.261787247403,-1.75898603220144,0.404047549053526,-4.353413444338,1.34034029342629e-05,0.000196293912550829,"NPHS1"
"ENSG00000161652",406.78577116681,-9.23895003409397,1.94854730459147,-4.74145534589985,2.12188429358815e-06,7.0534560633165e-05,"IZUMO2"
"ENSG00000162069",1047.46271023756,-1.25551796257891,0.424783110509461,-2.95566827285839,0.00311992454074311,0.0341529300664536,"BICDL2"
"ENSG00000162373",989.996297154432,-2.63774181310281,0.863641165657124,-3.05421038041397,0.00225653776882989,0.0253094872472412,"BEND5"
"ENSG00000162377",870.548196020025,-1.85051718657932,0.559823155050092,-3.30553884719852,0.000947939624140236,0.0111464097763173,"COA7"
"ENSG00000162493",951.146915484059,-2.70727959000558,0.791846089500654,-3.41894671944748,0.00062864034591851,0.00757197556213076,"PDPN"
"ENSG00000162687",831.883755729671,-2.24605886755902,0.756131111291978,-2.97046217781099,0.00297352018214995,0.0326975138612365,"KCNT2"
"ENSG00000162723",308.775592061985,-8.84005282269091,1.96932166546204,-4.4888821251133,7.15978992684506e-06,0.00012901331163425,"SLAMF9"
"ENSG00000162728",329.822492979386,-9.39750918669421,2.00745239687391,-4.68131109924619,2.8504598280376e-06,8.24147319755609e-05,"KCNJ9"
"ENSG00000162761",256.290144351411,-8.24297328137383,1.86184681474161,-4.42731013964636,9.54154938836881e-06,0.000153702716900543,"LMX1A"
"ENSG00000162763",408.379849339761,-9.26127377948257,1.39673970811097,-6.63063685073296,3.34241624880841e-11,1.79243215489867e-09,"LRRC52"
"ENSG00000162775",928.709098474032,-3.40889527518029,0.339627519069411,-10.0371586039929,1.04645079806464e-23,2.34831608707228e-21,"RBM15"
"ENSG00000162892",1195.52612476903,-1.00268140377128,0.144160686351745,-6.95530403708536,3.51802487967812e-12,1.96989135921017e-10,"IL24"
"ENSG00000163207",134.295821102327,-7.6827682317376,1.12421518220937,-6.83389475014827,8.26396657738433e-12,4.54876786720817e-10,"IVL"
"ENSG00000163364",823.114850465503,-1.69046424055277,0.554477111971906,-3.0487538692822,0.00229792664928946,0.0257143897735794,"LINC01116"
"ENSG00000163376",995.602743045229,-1.95920206367145,0.518888576800289,-3.77576641935888,0.000159516422647557,0.00201453359216328,"KBTBD8"
"ENSG00000163380",998.54760322802,-2.37176344002759,0.617983719670565,-3.83790602330418,0.000124087950862645,0.00157872559551502,"LMOD3"
"ENSG00000163519",933.574582164227,-2.33484841985933,0.348616767822296,-6.69746448068012,2.12066751582313e-11,1.14779653875896e-09,"TRAT1"
"ENSG00000163565",660.165877537691,-3.87689431762726,1.21472392685308,-3.19158471478447,0.00141494610831458,0.0163284109247869,"IFI16"
"ENSG00000163607",698.971213802845,-3.15972187327565,1.02205339911177,-3.09154284504277,0.00199119244440453,0.0224628991417685,"GTPBP8"
"ENSG00000163694",983.339143913117,-3.21854743438968,0.631844058815566,-5.09389522538688,3.50780671828429e-07,1.61154717153555e-05,"RBM47"
"ENSG00000163993",528.358362781973,-9.08863149932358,0.890523524141768,-10.2059420699556,1.86502359811458e-24,4.9462121297997e-22,"S100P"
"ENSG00000164334",416.743280456199,-9.73569301435938,1.98177148489901,-4.91262140390293,8.98667027099124e-07,3.75599042715799e-05,"FAM170A"
"ENSG00000164985",1008.07890890508,-3.08312057925954,0.237252391007231,-12.9951085684341,1.30422552404733e-38,9.51204280325821e-35,"PSIP1"
"ENSG00000165078",304.877176817088,-8.27783488262092,1.81602904697351,-4.5582062117433,5.15923691828794e-06,0.00010882893609343,"CPA6"
"ENSG00000165092",1062.58918223089,-2.0856037172256,0.558431440590795,-3.73475339250083,0.000187899219276129,0.00236173370268958,"ALDH1A1"
"ENSG00000165583",294.830968210081,-8.50583829439425,1.91833613933114,-4.43396656091771,9.25149817707345e-06,0.000152858812856026,"SSX5"
"ENSG00000165584",369.745896279244,-9.10098587783745,1.94936986600571,-4.66868090891623,3.03139775161897e-06,8.4789037975053e-05,"SSX3"
"ENSG00000165985",295.008999858244,-8.50706804985619,1.85031162361279,-4.59764071159315,4.27302034514838e-06,9.85429427106827e-05,"C1QL3"
"ENSG00000166105",874.442725583161,-1.94401313058879,0.358508484665578,-5.42250243366539,5.87704141185023e-08,2.83389965467614e-06,"GLB1L3"
"ENSG00000166352",1123.80369724199,-1.01577319226742,0.222817832129377,-4.55876077134447,5.14563443193904e-06,0.000108740687706841,"IFTAP"
"ENSG00000166670",355.045358482884,-9.07153399784224,1.96509839651965,-4.6163255814104,3.90594004629522e-06,9.55939504786665e-05,"MMP10"
"ENSG00000166897",393.67455283696,-8.9243792315496,1.83613669296174,-4.86041113701307,1.17142217639492e-06,4.64319281956102e-05,"ELFN2"
"ENSG00000167105",658.463677585273,-9.68835621861295,0.961591845815509,-10.0753310885206,7.10211902491937e-24,1.61867279932791e-21,"TMEM92"
"ENSG00000167656",235.026982481298,-8.47511320613235,1.95809369832725,-4.32824701564201,1.50300845143392e-05,0.000215151365921876,"LY6D"
"ENSG00000167755",619.104377176784,-9.90357397665359,0.920820332925527,-10.755164305711,5.60340701518241e-27,2.81841711817097e-24,"KLK6"
"ENSG00000167771",946.252829110178,-1.31356765786465,0.423947442933417,-3.09842099477165,0.00194554836168778,0.0219990241688053,"RCOR2"
