GeneID	GSM7020412	GSM7020417	GSM7020416	GSM7020415	GSM7020414	GSM7020413
ENSG00000026103	465	547	364	587	348	616
ENSG00000026297	1714	964	1406	903	1131	642
ENSG00000026508	2845	2814	2160	3320	2051	2668
ENSG00000026559	88	14	21	10	9	8
ENSG00000026652	352	154	247	137	199	112
ENSG00000026751	661	673	687	986	715	292
ENSG00000026950	1177	909	933	1084	871	645
ENSG00000027001	179	122	157	114	134	185
ENSG00000027075	657	576	492	525	555	572
ENSG00000027644	5	7	8	1	4	14
ENSG00000027697	955	870	807	913	854	959
ENSG00000027847	451	444	424	406	426	426
ENSG00000027869	158	114	131	127	172	131
ENSG00000028116	251	188	168	200	183	154
ENSG00000028137	984	772	815	937	904	820
ENSG00000028203	1327	922	940	954	796	912
ENSG00000028277	1114	675	1614	858	1801	430
ENSG00000028310	690	675	694	585	718	530
ENSG00000028528	2204	2535	1737	2213	1788	2177
ENSG00000028839	177	118	155	128	167	120
ENSG00000029153	56	67	61	101	103	100
ENSG00000029363	1624	1042	1291	1163	1116	1000
ENSG00000029364	880	455	612	627	547	524
ENSG00000029534	73	39	50	42	65	34
ENSG00000029559	0	3	1	4	0	5
ENSG00000029639	154	136	177	97	125	123
ENSG00000029725	239	130	132	125	104	132
ENSG00000029993	119	85	124	133	139	150
ENSG00000030066	979	642	644	642	572	528
ENSG00000030110	120	90	101	122	132	92
ENSG00000030304	32	12	25	7	45	6
ENSG00000030419	497	557	291	804	233	369
ENSG00000030582	2182	1836	1714	2083	1924	2326
ENSG00000031003	657	477	469	445	458	344
ENSG00000031081	1392	803	566	704	559	697
ENSG00000031691	89	66	85	70	95	65
ENSG00000031698	1234	1098	921	1098	1041	1317
ENSG00000031823	967	1135	1009	949	895	967
ENSG00000032219	819	832	982	807	1053	722
ENSG00000032389	237	211	321	177	273	258
ENSG00000032444	1132	1094	959	985	900	1305
ENSG00000032742	305	291	342	265	271	177
ENSG00000033011	297	173	205	251	211	139
ENSG00000033030	649	712	707	517	450	431
ENSG00000033050	135	157	135	166	194	210
ENSG00000033100	765	1060	660	1278	619	867
ENSG00000033122	193	44	157	17	61	8
ENSG00000033170	433	452	326	445	344	346
ENSG00000033178	651	501	617	572	491	360
ENSG00000033327	386	309	208	322	199	515
ENSG00000033627	1198	949	840	1104	709	1237
ENSG00000033800	957	535	626	460	534	444
ENSG00000033867	656	356	433	373	392	357
ENSG00000034053	8	5	2	1	3	0
ENSG00000034152	419	393	344	411	420	488
ENSG00000034239	4	8	3	2	4	1
ENSG00000034510	563	630	660	654	703	690
ENSG00000034533	215	106	132	144	147	89
ENSG00000034677	940	840	959	733	652	551
ENSG00000034693	298	160	205	188	210	205
ENSG00000034713	662	620	672	686	675	759
ENSG00000034971	196	350	315	10	137	50
ENSG00000035115	938	688	694	653	512	933
ENSG00000035141	500	503	484	506	417	436
ENSG00000035403	1422	1340	818	1221	722	1577
ENSG00000035499	37	26	41	45	54	166
ENSG00000035664	3131	4292	546	3127	360	3621
ENSG00000035681	516	388	447	399	374	428
ENSG00000035687	527	446	376	537	397	613
ENSG00000035720	178	90	266	103	185	55
ENSG00000035862	2337	1879	1511	1986	1537	2424
ENSG00000035928	925	545	648	561	669	588
ENSG00000036054	561	409	390	466	404	435
ENSG00000036257	805	498	579	557	553	547
ENSG00000036448	0	0	1	0	0	2
ENSG00000036473	4	1	4	0	7	0
ENSG00000036530	87	50	106	40	70	39
ENSG00000036549	704	457	463	471	428	400
ENSG00000036565	2	3	8	2	4	3
ENSG00000036672	41	23	44	21	41	42
ENSG00000036828	3	0	0	1	1	1
ENSG00000037042	309	423	297	294	197	293
ENSG00000037241	58	46	77	65	69	66
ENSG00000037280	887	904	679	759	558	358
ENSG00000037474	784	673	589	596	499	549
ENSG00000037637	564	504	529	463	373	411
ENSG00000037749	506	239	303	374	276	314
ENSG00000037757	457	344	320	311	247	244
ENSG00000037897	90	131	131	116	126	109
ENSG00000037965	0	3	0	2	3	2
ENSG00000038002	511	444	373	595	379	425
ENSG00000038210	536	291	441	283	333	314
ENSG00000038219	1933	1454	1757	1276	1693	1102
ENSG00000038274	1204	796	894	966	913	920
ENSG00000038295	63	27	53	42	39	30
ENSG00000038358	723	587	379	394	212	360
ENSG00000038382	1007	755	715	582	454	641
ENSG00000038427	328	734	151	838	418	1254
ENSG00000038532	642	1019	521	708	391	765
ENSG00000038945	123	170	158	561	490	405
ENSG00000039068	3337	1958	2076	2249	1801	1974
ENSG00000039123	771	543	578	543	508	527
ENSG00000039139	48	36	48	36	39	8
ENSG00000039319	445	323	295	300	227	215
ENSG00000039523	992	804	763	776	688	851
ENSG00000039537	48	55	50	31	113	74
ENSG00000039560	548	418	281	347	327	609
ENSG00000039600	1	1	2	4	7	1
ENSG00000039650	693	942	697	774	638	676
ENSG00000039987	2	1	10	5	0	3
ENSG00000040199	384	245	284	216	215	180
ENSG00000040275	122	103	125	85	126	50
ENSG00000040341	347	244	250	274	229	287
ENSG00000040487	277	272	228	231	196	339
ENSG00000040531	269	285	212	296	195	292
ENSG00000040608	118	121	112	89	75	276
ENSG00000040633	429	415	414	445	447	467
ENSG00000040731	1	1	0	0	1	1
ENSG00000040933	871	903	783	898	639	695
ENSG00000041353	15	22	16	17	11	170
ENSG00000041357	607	573	632	669	806	604
ENSG00000041515	15	6	25	16	15	5
ENSG00000041802	558	590	656	413	411	403
ENSG00000041880	638	574	532	433	464	410
ENSG00000041982	1466	1561	1183	1032	1187	1431
ENSG00000041988	225	202	203	193	216	203
ENSG00000042062	231	131	197	66	134	59
ENSG00000042088	196	112	142	141	158	98
ENSG00000042286	435	370	385	381	413	337
ENSG00000042304	0	0	0	1	0	0
ENSG00000042317	256	194	178	158	182	148
ENSG00000042429	194	176	115	165	141	118
ENSG00000042445	1160	618	788	648	652	759
ENSG00000042493	1040	1041	1094	1115	1216	1447
ENSG00000042753	320	342	382	390	516	527
ENSG00000042781	5	5	3	4	5	2
ENSG00000042813	7	3	4	3	7	0
ENSG00000042832	17199	12405	12517	12898	12369	8346
ENSG00000042980	815	386	733	407	511	248
ENSG00000043039	7	9	3	4	14	2
ENSG00000043093	384	268	318	304	300	273
ENSG00000043143	1636	907	979	930	776	987
ENSG00000043355	0	0	0	0	1	1
ENSG00000043462	711	511	764	679	765	569
ENSG00000043514	337	287	295	256	220	171
ENSG00000043591	16	18	10	8	13	11
ENSG00000044012	0	0	0	0	0	0
ENSG00000044090	768	868	562	789	418	732
ENSG00000044115	2247	2239	1532	2063	1633	2329
ENSG00000044446	790	640	534	507	332	372
ENSG00000044459	163	128	144	101	141	94
ENSG00000044524	782	310	283	344	263	291
ENSG00000044574	2740	2165	2764	2494	2237	1509
ENSG00000046604	920	448	414	708	373	1058
ENSG00000046647	514	458	479	438	401	364
ENSG00000046651	1423	1133	1224	1011	861	824
ENSG00000046653	161	64	97	89	87	43
ENSG00000046774	0	0	0	0	0	0
ENSG00000046889	837	299	578	217	251	180
ENSG00000047056	765	549	538	502	403	439
ENSG00000047188	824	698	735	643	513	412
ENSG00000047230	425	307	325	323	254	304
ENSG00000047249	621	395	466	383	457	598
ENSG00000047315	1078	850	759	744	701	686
ENSG00000047346	848	648	795	709	554	416
ENSG00000047365	1610	466	944	504	601	448
ENSG00000047410	1517	1177	1151	1005	921	872
ENSG00000047457	712	399	281	184	317	77
ENSG00000047578	932	803	865	794	593	403
ENSG00000047579	286	229	246	219	286	301
ENSG00000047597	38	13	18	14	14	29
ENSG00000047617	22	31	11	13	19	15
ENSG00000047621	267	246	307	242	288	208
